datetime_AEST,CO,NO2,O3,PM2.5,PM10
2021-12-31 23:00:00+00:00,0.07884615384615384,5.470615384615384,10.168230769230771,0.0,16.95830769230769
2022-01-01 00:00:00+00:00,0.0,0.0,0.0,4.3036875,14.7253125
2022-01-01 01:00:00+00:00,0.041125,5.3515,5.8300625,4.5796875,13.048
2022-01-01 02:00:00+00:00,0.0446875,5.4940625,5.0439375,3.8925625,11.639125
2022-01-01 03:00:00+00:00,0.0470625,4.837875,5.1442499999999995,3.5084999999999997,12.563875
2022-01-01 04:00:00+00:00,0.041874999999999996,3.2745625,6.0846875,2.9768125000000003,9.992875
2022-01-01 05:00:00+00:00,0.03975,2.71475,7.5053125000000005,2.394125,10.042875
2022-01-01 06:00:00+00:00,0.036000000000000004,2.2450625,9.865625,1.487625,9.56675
2022-01-01 07:00:00+00:00,0.034125,1.8851875,12.5044375,2.02675,10.3656875
2022-01-01 08:00:00+00:00,0.0323125,1.1165625000000001,14.1694375,2.9939999999999998,10.528500000000001
2022-01-01 09:00:00+00:00,0.029875,1.1775,15.147874999999999,2.1440625,9.2375
2022-01-01 10:00:00+00:00,0.030125000000000002,1.19475,15.1969375,2.17575,11.217625
2022-01-01 11:00:00+00:00,0.026562500000000003,0.805875,14.96125,1.81525,8.493625
2022-01-01 12:00:00+00:00,0.030058823529411766,0.7684705882352941,16.21494117647059,1.8935882352941178,15.25464705882353
2022-01-01 13:00:00+00:00,0.03476470588235294,0.7965882352941176,16.333529411764708,2.614705882352941,9.573764705882352
2022-01-01 14:00:00+00:00,0.03741176470588235,0.8997058823529411,17.028176470588235,3.0521764705882353,10.571352941176471
2022-01-01 15:00:00+00:00,0.03970588235294118,1.083235294117647,17.84605882352941,1.572705882352941,10.983294117647059
2022-01-01 16:00:00+00:00,0.03972222222222222,1.0407222222222223,15.0335,2.2918333333333334,9.349777777777778
2022-01-01 17:00:00+00:00,0.039588235294117646,1.2914117647058825,14.792411764705882,1.3181764705882353,6.46629411764706
2022-01-01 18:00:00+00:00,0.03970588235294118,1.500235294117647,13.299294117647058,1.3884705882352941,9.250529411764706
2022-01-01 19:00:00+00:00,0.04194117647058824,1.7848823529411764,12.765529411764707,0.8518823529411764,8.79035294117647
2022-01-01 20:00:00+00:00,0.043470588235294115,2.2171764705882353,11.623235294117647,0.5417058823529411,12.057705882352941
2022-01-01 21:00:00+00:00,0.04570588235294118,2.8782352941176472,11.002705882352942,1.949176470588235,9.575176470588234
2022-01-01 22:00:00+00:00,0.04570588235294118,2.9926470588235294,9.578529411764706,1.9873529411764703,6.795470588235295
2022-01-01 23:00:00+00:00,0.04605882352941176,3.668117647058824,9.34164705882353,1.6148235294117645,8.808941176470588
2022-01-02 00:00:00+00:00,0.0,0.0,0.0,2.3264444444444443,6.905166666666667
2022-01-02 01:00:00+00:00,0.044647058823529415,3.6484705882352944,7.496882352941177,2.166058823529412,6.897764705882353
2022-01-02 02:00:00+00:00,0.04688235294117647,3.6288823529411762,7.038411764705883,1.9097058823529414,8.701941176470587
2022-01-02 03:00:00+00:00,0.04782352941176471,3.276176470588235,6.944647058823529,1.8758823529411766,7.0994117647058825
2022-01-02 04:00:00+00:00,0.044941176470588234,3.6346470588235293,6.041176470588235,1.6791176470588236,8.383058823529412
2022-01-02 05:00:00+00:00,0.0611764705882353,3.6882352941176473,5.559058823529411,1.719235294117647,8.967823529411765
2022-01-02 06:00:00+00:00,0.0666470588235294,3.846941176470588,5.733941176470588,2.0198823529411767,12.399882352941177
2022-01-02 07:00:00+00:00,0.061,3.8815882352941173,6.994999999999999,1.7109411764705882,11.585117647058823
2022-01-02 08:00:00+00:00,0.05211764705882353,2.9286470588235294,9.474529411764706,1.6586470588235294,9.006176470588235
2022-01-02 09:00:00+00:00,0.047764705882352945,2.4782941176470588,12.397764705882352,2.236764705882353,10.414705882352942
2022-01-02 10:00:00+00:00,0.051823529411764706,3.194294117647059,14.554235294117646,3.0498235294117646,11.79864705882353
2022-01-02 11:00:00+00:00,0.051647058823529414,1.7867058823529411,17.117764705882355,2.9730588235294118,9.285411764705882
2022-01-02 12:00:00+00:00,0.05041176470588235,1.3235882352941177,18.703000000000003,3.4351764705882353,7.672588235294118
2022-01-02 13:00:00+00:00,0.04947058823529411,1.0559999999999998,17.12329411764706,2.338,11.321588235294117
2022-01-02 14:00:00+00:00,0.048117647058823536,0.8744117647058823,13.129764705882353,2.2969411764705883,11.731764705882354
2022-01-02 15:00:00+00:00,0.049,0.8414375000000001,12.55275,1.2099375,13.341750000000001
2022-01-02 16:00:00+00:00,0.04358823529411765,0.8150000000000001,10.292235294117646,0.7551764705882352,7.863058823529411
2022-01-02 17:00:00+00:00,0.04352941176470588,0.670235294117647,8.942058823529411,1.0136470588235293,7.986058823529412
2022-01-02 18:00:00+00:00,0.04276470588235294,0.576,7.509941176470588,2.617529411764706,7.056058823529411
2022-01-02 19:00:00+00:00,0.040411764705882355,0.5500588235294117,6.411764705882353,1.917529411764706,6.646294117647059
2022-01-02 20:00:00+00:00,0.03594117647058823,0.5627058823529412,5.715529411764706,1.7157647058823529,5.465588235294117
2022-01-02 21:00:00+00:00,0.03423529411764706,0.5084705882352941,5.490882352941177,1.4429999999999998,4.736176470588235
2022-01-02 22:00:00+00:00,0.03294117647058823,0.48264705882352943,5.231941176470588,1.2669411764705882,4.56635294117647
2022-01-02 23:00:00+00:00,0.03335294117647059,0.5015882352941177,5.0902352941176465,0.8848235294117648,4.631529411764706
2022-01-03 00:00:00+00:00,0.0,0.0,0.0,1.2311764705882353,3.5785882352941174
